"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"31",31,0.822437239388469,23.19024,-1.360715,-1.50784,-2.06248,5.171898925965,23.2316,45.2406,227.48075,54.75275,1.196217051778,2.25799845262413,0.195122,0.194925854166667,0.196170479166667,0.212006,0.310713,0.12475206791725,0.204367520793,0.5931705708895,1.7481998036255e-06,0.273925815091,7.475286875,14.9427085416667,22.41175,4.97997e-06,4.98072,56.0471395833333,103.894333333333,358.526770833333,17.3451083333333,73.2413875,1.09749958333333,1.95834,7.6,2.05431645833333,0.122027354166667,0.243956229166667,0.522667645833333,2.48567375e-07,0.111348666666667,0
"32",32,0.790641975507194,24.36636,-1.4028,-1.550325,-2.073685,5.041900939195,23.293375,45.159,226.88975,54.28215,1.1174667817185,2.16895942405507,0.194577645833333,0.194439916666667,0.195657520833333,0.212006,0.310713,0.1066958204965,0.17867247013435,0.5474518656225,1.987512542795e-06,0.284645156708,7.47566729166667,14.9428422916667,22.41175,4.97997e-06,4.98072,55.1113854166667,102.178541666667,352.128395833333,16.94069375,72.0167291666667,1.10257395833333,1.95834,7.6,2.054333125,0.122031145833333,0.24395675,0.522664,2.48565666666667e-07,0.111348,0
"33",33,0.438177745182023,25.16148,-1.43495,-1.585475,-1.758875,4.97221328849,22.974675,45.0455,226.33375,41.10065,0.338062928685,1.27382999197773,0.194540125,0.194340645833333,0.1953131875,0.212006,0.310713,0.0069455013367075,-0.0140078109502925,0.115797631679,1.2477377291575e-06,0.229325885236,7.47583,14.9429,22.41175,4.97997e-06,4.98072,54.1935979166667,100.4957125,345.858541666667,16.5462625,70.82005,1.09745666666667,1.95834,7.6,2.05434,0.122033,0.243957,0.522662479166667,2.48565e-07,0.111348,0
"34",34,0.43922219102569,25.16148,-1.44545,-1.59113,-1.869825,5.008841543855,22.198775,44.714925,226.02425,50.98665,0.6586344754225,0.932883037326146,0.194799083333333,0.1944366875,0.195165729166667,0.212006,0.310713,0.08887083316775,0.07485752427525,0.221807688172,1.6754702661985e-06,0.2730966673,7.47583,14.9429,22.41175,4.97997e-06,4.98072,53.2900375,98.8397479166667,339.715375,16.1615041666667,69.63815625,1.07540729166667,1.95834,7.6,2.05434,0.122033,0.243957,0.522663,2.48565e-07,0.111348,0
"35",35,0.536112914787266,25.16148,-1.44175,-1.585595,-1.92124,5.08109457775,21.5264,44.2514,225.70325,54.05705,0.818316738195,0.959100015124281,0.195680625,0.1945735,0.1950733125,0.212006,0.310713,0.209685559533,0.1159763525424,0.22206983042585,1.706340617206e-06,0.27058411444,7.47583,14.9429,22.41175,4.97997e-06,4.98072,52.4031583333333,97.2138854166667,333.695979166667,15.7863333333333,68.4879083333333,1.06252666666667,1.95834,7.6,2.05434,0.122033,0.243957,0.522663,2.48565e-07,0.111348,0
"36",36,0.378850980405669,25.16148,-1.43029,-1.57032,-1.77584,5.01448367004,21.14125,43.77965,225.25775,39.2899,0.3908110424725,0.819792724850858,0.195619416666667,0.194666875,0.195031020833333,0.212006,0.310713,0.066445268845,0.0311227108864,0.06676419082645,1.2600002318225e-06,0.226477990662,7.47583,14.9429,22.41175,4.97997e-06,4.98072,51.5332729166667,95.618775,327.797291666667,15.4203145833333,67.36068125,1.05306,1.95834,7.6,2.05434,0.122033,0.243957,0.522663,2.48565e-07,0.111348,0
"37",37,0.481636114689366,25.16148,-1.439295,-1.58165,-1.898045,4.95834915353,20.86225,43.3136,224.7315,53.0885,0.714280821532,1.21538979253968,0.194952354166667,0.194574604166667,0.194973770833333,0.212006,0.310713,0.08573404476925,0.11351083784545,0.229114947386,1.849533162929e-06,0.285919522776,7.47583,14.9429,22.41175,4.97997e-06,4.98072,50.680375,94.0542625,322.016770833333,15.06358125,66.25405,1.04726104166667,1.95834,7.6,2.05434,0.122033,0.243957,0.522663,2.48565e-07,0.111348,0
"38",38,0.468234843093152,25.16148,-1.454325,-1.59875,-1.93071,4.904772743255,20.8027,42.9585,224.0545,53.227,0.706694766624,1.34079935937042,0.194466854166667,0.194318833333333,0.194833520833333,0.212006,0.310713,0.06940899047775,0.10891147012515,0.248783723958,1.915954667396e-06,0.279588427888,7.47583,14.9429,22.41175,4.97997e-06,4.98072,49.84385625,92.519225,316.352416666667,14.7156479166667,65.1686854166667,1.04959520833333,1.95834,7.6,2.05434,0.122033,0.243957,0.522663,2.48565e-07,0.111348,0
"39",39,0.577740978264922,25.16148,-1.47587,-1.622565,-2.12056,4.824249390945,20.81075,42.6866,223.291,58.53055,1.0332125587185,1.74699446064524,0.194043854166667,0.193979479166667,0.19462075,0.212006,0.310713,0.1112867981583,0.19804570040865,0.4301715846285,2.345061420675e-06,0.293705733849,7.47585354166667,14.9429,22.41175,4.97997e-06,4.98072,49.0237458333333,91.0133520833333,310.802354166667,14.37661875,64.1046895833333,1.05769645833333,1.95834,7.6,2.05434,0.122033333333333,0.243956666666667,0.522662604166667,2.48565e-07,0.111347645833333,0
"40",40,0.579555103651813,25.16148,-1.495885,-1.64339,-2.1661,4.741634356635,21.27965,42.546825,222.37625,63.43285,1.0750354910175,2.16819037968918,0.193779020833333,0.193668604166667,0.194362229166667,0.212006,0.310713,0.11505354293475,0.199373853984,0.453440272047,2.58709642323e-06,0.3071648845395,7.47596479166667,14.9429145833333,22.41175,4.97997e-06,4.98072,48.2240354166667,89.5435416666667,305.364166666667,14.04639375,63.06141875,1.07430541666667,1.95834,7.6,2.0543425,0.122034666666667,0.243956,0.522661354166667,2.48564645833333e-07,0.111347,0
