"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"201",201,2.62800740190996,85.4036,-1.525585,-1.79952,-2.638455,0.961380628,14.54835,34.251375,136.867,5.14685,0.446102878,1.07063216601455,0.269558083333333,0.224052208333333,0.1881115,0.212308,0.310713,0.1653901132,0.249675322,0.0268289814,7.5631634e-06,0.00420066894,9.50363666666667,14.2255272916667,24.1116979166667,4.73709958333333e-05,0.0146674260416667,8.55720291666667,13.7847,34.6817,0.962764645833333,0.197419083333333,0.954515145833333,2.132258125,7.6,1.76050333333333,0.160445479166667,0.252326895833333,0.586462979166667,2.66425895833333e-07,0.000764436041666667,0
"202",202,2.86788491356751,85.48672,-1.53138,-1.79724,-2.603805,0.9605698983845,14.100925,33.463325,136.317,4.484915,0.428875285242,1.02254528592899,0.266768,0.221985354166667,0.188155020833333,0.212308,0.310713,0.1624489901701,0.244216284625,0.01806003196911,7.420294989735e-06,0.004141883396275,9.49842479166666,14.217575,24.0985829166667,4.73305875e-05,0.0147203002083333,8.49920958333333,13.69099375,34.3702416666667,0.956247291666667,0.1981465625,0.9709769375,2.144649375,7.6,1.74973645833333,0.160433166666667,0.2523104375,0.586490666666667,2.66515895833333e-07,0.000765407833333333,0
"203",203,2.98153164261156,85.54794,-1.53875,-1.795745,-2.610365,0.96228643774,13.590825,32.6547,135.75275,4.24479,0.4237551366325,0.916683931868208,0.264041895833333,0.219975958333333,0.18819425,0.212308,0.310713,0.1592625717962,0.238469769311,0.021954135396,7.281885760425e-06,0.004061445504585,9.493049375,14.2094075,24.08539875,4.72899916666667e-05,0.01476922625,8.44463208333333,13.60129375,34.0634270833333,0.949900270833333,0.198895395833333,0.984273895833333,2.15709625,7.6,1.73904208333333,0.160419729166667,0.252292770833333,0.586520916666667,2.66607479166667e-07,0.000766336291666667,0
"204",204,3.01829637497032,85.65662,-1.546825,-1.79482,-2.51301,0.9636640592245,13.071125,31.82765,135.185,4.164135,0.370195748903,0.944909951603523,0.261493,0.218100583333333,0.1882339375,0.212308,0.310713,0.1498550431443,0.223043675976,-0.006569402611865,6.81035250184e-06,0.00385919832398,9.48785854166667,14.201378125,24.07216875,4.724924375e-05,0.01480666375,8.38867041666667,13.5103125,33.76098125,0.943677270833333,0.199720833333333,0.993501583333333,2.1693975,7.6,1.72859270833333,0.160408041666667,0.252275875,0.586548645833333,2.66698354166667e-07,0.000767101375,0
"205",205,2.73636048482428,85.83158,-1.55443,-1.79232,-2.39815,0.9658364406805,12.60205,31.001025,134.60975,4.330065,0.304453478784,1.07081111925239,0.2589048125,0.216206833333333,0.188289166666667,0.212308,0.310713,0.1370643304102,0.20242873872065,-0.03861408798145,6.16974151667e-06,0.003567898595355,9.48261,14.1932966666667,24.058911875,4.72083958333333e-05,0.0148442847916667,8.33262458333333,13.4195,33.4626083333333,0.937565791666667,0.20043525,1.00187766666667,2.181759375,7.6,1.71820833333333,0.160395916666667,0.252258875,0.586577041666667,2.66789416666667e-07,0.000767870895833333,0
"206",206,0.74916,85.88246,-1.56286,-1.789615,-2.03706,0.968961970711,12.303675,30.21035,134.039,7.55682,0.1135244437908,1.12557492039807,0.2571951875,0.214465708333333,0.188362770833333,0.212308,0.310713,0.0914150297823,0.13260755762415,-0.11295624639715,3.76407398281e-06,0.0024544180409315,9.477724375,14.1856260416667,24.0456229166667,4.71674416666667e-05,0.0148891777083333,8.27190541666667,13.3232479166667,33.16824375,0.931568333333333,0.201267583333333,1.01051308333333,2.19419625,7.6,1.70788708333333,0.160386854166667,0.2522446875,0.586599520833333,2.66878270833333e-07,0.000768727604166667,0
"207",207,2.42517930086306,85.88246,-1.567025,-1.784375,-2.53406,0.9716727844355,12.220525,29.47975,133.465,4.47822,0.3659719301815,1.19429429655267,0.272460166666667,0.21640225,0.188590895833333,0.2123145625,0.3107114375,0.14309147230355,0.209667546742,0.0095287187827,6.49856018168e-06,0.003678049275445,9.4730025,14.178168125,24.0323214583333,4.71264395833333e-05,0.0149484110416667,8.209439375,13.2249479166667,32.87770625,0.925653,0.202134854166667,1.02003375,2.20601520833333,7.6,1.69818208333333,0.160379125,0.252231875,0.586618916666667,2.669659375e-07,0.000769772979166667,0
"208",208,2.18091717855265,85.91452,-1.434435,-1.713745,-2.523485,1.010907057554,12.03655,28.8044,132.887,5.445205,0.4483153475705,1.24467530986897,0.2962135625,0.2248409375,0.189075354166667,0.212332916666667,0.310711875,0.1616292887013,0.2425100158525,0.04005951534785,7.236770771e-06,0.004109930492075,9.46816145833333,14.170619375,24.0190083333333,4.708538125e-05,0.0150178120833333,8.147023125,13.1307125,32.59140625,0.9198315625,0.202895291666667,1.02902666666667,2.21758583333333,7.6,1.68861270833333,0.160370333333333,0.252218770833333,0.586639604166667,2.6705425e-07,0.000770966604166667,0
"209",209,2.70380522072414,0,-1.44103,-1.71343,-2.54521,1.00824056694,13.122275,28.379125,132.3035,4.88688,0.432663412596,1.04053812568632,0.293364416666667,0.222953375,0.189087916666667,0.212333,0.310713,0.1540023267883,0.230235070536,0.0445087238521,6.90901657472e-06,0.00390967770095,9.46308875,14.162815625,24.0056360416667,4.70441520833333e-05,0.0150746989583333,8.0878925,13.04150625,32.309425,0.9141471875,0.20368925,1.03051479166667,2.21977729166667,7.6,1.686366875,0.1603598125,0.252204104166667,0.58666375,2.671445e-07,0.000772000375,0
"210",210,2.35022862927665,0,-1.450085,-1.397125,-2.24185,6.18261661579,15.385375,27.93355,131.222,30.2024,2.490576806695,3.86289731226459,0.279926916666667,0.213861895833333,0.1901705625,0.212333,0.310713,1.4364872484795,1.928070179348,-0.876820856829,3.63393551371e-06,0.002835603792305,9.45937604166667,14.1563166666667,23.99357875,4.70027479166667e-05,0.0164692097916667,8.032741875,12.95516875,32.0319416666667,0.908610041666667,0.204546291666667,0.9979015625,2.22153,7.6,1.684550625,0.16035575,0.252189,0.586664770833333,2.67216229166667e-07,0.000790185958333333,0
"211",211,2.58809133746528,0.780600000000015,-1.41876,-1.343855,-2.23216,5.91952703627,18.03505,28.01565,129.74225,24.26445,2.092933485412,3.59597888070102,0.254446541666667,0.2002190625,0.1919109375,0.212333,0.310713,1.384616738456,0.942662135714,-0.2371323056625,3.27452183836e-06,0.00278209617124,9.45768833333333,14.15182125,23.9833366666667,4.69612166666667e-05,0.0196786516666667,7.9806975,12.8663895833333,31.7605229166667,0.903189895833333,0.205427145833333,0.975734645833333,2.22153,7.6,1.68428104166667,0.160363020833333,0.252175,0.586627729166667,2.67259166666667e-07,0.000834018458333333,0
"212",212,3.23008478847214,7.00900000000001,-1.51055,-1.496525,-2.2686,5.5367316805,19.4701,28.562375,128.40625,16.79295,1.7663702476875,2.82784491903776,0.230622270833333,0.194682104166667,0.192423833333333,0.212333,0.310713,1.36078349197,0.3252849300725,0.07752812812075,3.412955328175e-06,0.0027702097143,9.45506833333333,14.1463814583333,23.97232875,4.69195854166667e-05,0.0221619645833333,7.93213625,12.7779583333333,31.4940208333333,0.8978596875,0.206466479166667,0.958699916666667,2.22153,7.6,1.68393541666667,0.160365145833333,0.25215975,0.586606604166667,2.673139375e-07,0.0008682315,0
"213",213,2.99335711614252,11.5496,-1.61434,-1.580395,-2.3421,5.280590294655,20.1441,29.151075,127.2435,15.70895,1.5533866687365,2.44770157690203,0.209599229166667,0.192889708333333,0.192378479166667,0.212333,0.310713,1.1695572071495,0.1689838656584,0.212211748775,3.39176688487e-06,0.002631059132195,9.45136916666667,14.1398445833333,23.96042,4.68778145833333e-05,0.02377845,7.8855625,12.6920041666667,31.2313645833333,0.89265675,0.207381520833333,0.939603479166667,2.22153,7.6,1.68349833333333,0.160361166666667,0.252143083333333,0.586604833333333,2.67383291666667e-07,0.0008905636875,0
